MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MMS_GENSPECIES,MACRO_GENSPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
8,tolerant,NA,NA,predator,95,ablabesmyia_sp._4,128081,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_annulata,1,ablabesmyia_annulata,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128083,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_aspera,2,ablabesmyia_aspera,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128090,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_idei,3,ablabesmyia_idei,,,,,,,,,
8,tolerant,NA,NA,predator,,,128092,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_illinoensis,4,ablabesmyia_illinoensis,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128093,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_janta,5,ablabesmyia_janta,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128097,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_mallochi,6,ablabesmyia_mallochi,,,,,,,,,
8,tolerant,NA,NA,predator,95,"ablabesmyia_basalis,_ablabesmyia_parajanta",128107,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_monilis,7,ablabesmyia_monilis,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128113,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_peleensis,8,ablabesmyia_peleensis,,,,,,,,,
8,tolerant,NA,NA,predator,95,,128115,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_philosphagnos,9,ablabesmyia_philosphagnos,,,,,,,,,
8,tolerant,NA,NA,predator,36,,128121,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_rhamphe,10,ablabesmyia_rhamphe,,,,,,,,,
